Item_id,Location1,Location2,room_size,area,current_floor,total_from,building_type,repair_status,bill_of_sale,price (AZN)
4982859,abseron,Masazır q.,2,72,1,6,new,Yes,Yes,86500
5053308,abseron,Masazır q.,2,42,4,6,new,Yes,Yes,65000
4779651,abseron,Masazır q.,2,60,3,7,new,Yes,Yes,97000
5054989,abseron,Masazır q.,3,59,6,6,new,Yes,No,71000
4328297,abseron,Abşeron r.,3,74,9,16,new,Yes,Yes,112000
5054967,abseron,Masazır q.,2,42,2,10,new,Yes,Yes,67000
5038526,abseron,Masazır q.,2,54,5,6,new,Yes,Yes,79000
5054940,abseron,Saray q.,2,65,3,14,new,Yes,No,18500
5054930,abseron,Masazır q.,3,83,4,6,new,Yes,Yes,104000
5034258,abseron,Məmmədli q.,2,56,3,10,new,Yes,Yes,88000
4867013,abseron,Masazır q.,2,56,3,6,new,Yes,Yes,76500
5054848,abseron,Masazır q.,3,74,6,6,new,Yes,Yes,61500
4731512,abseron,Masazır q.,3,73,2,6,new,Yes,Yes,85000
4785422,abseron,Masazır q.,2,60,5,8,new,Yes,No,84500
4970828,abseron,Masazır q.,3,71,5,10,new,Yes,Yes,119000
4817420,abseron,Masazır q.,2,45,3,4,new,Yes,No,60000
5040425,abseron,Masazır q.,2,50,3,5,new,Yes,No,63500
5052351,abseron,Masazır q.,2,42,4,6,new,Yes,Yes,65000
5054797,abseron,Masazır q.,2,70,6,8,new,Yes,No,82000
4686502,abseron,Masazır q.,3,67,3,7,new,Yes,Yes,92000
4986655,abseron,Məmmədli q.,2,94,2,10,new,Yes,Yes,160000
5054734,abseron,Masazır q.,2,68,10,12,new,Yes,Yes,90000
5054710,abseron,Masazır q.,2,42,4,6,new,Yes,Yes,65000
5040117,abseron,Masazır q.,3,73,1,6,new,Yes,Yes,86000
4773020,abseron,Masazır q.,2,60,5,6,new,Yes,Yes,78000
4983802,abseron,Masazır q.,2,54,3,6,new,Yes,No,68500
5015005,abseron,Masazır q.,3,83,1,6,new,Yes,Yes,103000
5054566,abseron,Masazır q.,2,50,6,6,new,Yes,Yes,60000
5054544,abseron,Masazır q.,2,53.3,2,6,new,No,No,57000
4919309,abseron,Masazır q.,3,90,4,7,new,Yes,Yes,102000
5054444,abseron,Masazır q.,2,50,6,6,new,Yes,Yes,55000
4925951,abseron,Masazır q.,2,60,2,13,new,Yes,No,68000
5054437,abseron,Masazır q.,2,78,8,9,new,Yes,Yes,95000
5054429,abseron,Masazır q.,3,72,4,6,new,Yes,Yes,90000
5054335,abseron,Masazır q.,2,49,5,5,new,Yes,No,63500
5054273,abseron,Masazır q.,2,60,8,13,new,Yes,No,70000
5054264,abseron,Masazır q.,4,100,6,6,new,Yes,Yes,79000
4835923,abseron,Masazır q.,3,55,4,6,new,Yes,Yes,75000
5054040,abseron,Məmmədli q.,2,66,1,5,old,Yes,Yes,66000
4833848,abseron,Masazır q.,3,92,7,9,new,Yes,Yes,125000
5053890,abseron,Məmmədli q.,2,66,2,5,new,Yes,No,66000
4885051,abseron,Məmmədli q.,3,95,6,10,new,Yes,Yes,135000
5053786,abseron,Masazır q.,3,73,2,3,new,Yes,Yes,82000
5053785,abseron,Masazır q.,2,52,4,8,new,Yes,No,79000
4640335,abseron,Masazır q.,2,70,5,8,new,Yes,Yes,115000
5053685.html,abseron,Məmmədli q.,3,120,10,10,new,Yes,Yes,170000
4873599,abseron,Masazır q.,2,56,3,6,new,Yes,Yes,72500
4649987,abseron,Masazır q.,2,76,1,6,new,Yes,No,85000
5035833,abseron,Masazır q.,2,36,5,5,new,Yes,Yes,48000
5053531,abseron,Masazır q.,2,42.3,5,7,new,Yes,Yes,72000
4982343,abseron,Masazır q.,2,54,1,6,new,Yes,Yes,70000
5053349,abseron,Masazır q.,2,42,4,6,new,Yes,Yes,65000
5032963,abseron,Masazır q.,3,70,2,7,new,Yes,Yes,115000
4950435,abseron,Masazır q.,2,67.5,4,5,new,No,No,62500
5053339,abseron,Masazır q.,3,73,1,6,new,Yes,Yes,86000
4999268,abseron,Masazır q.,3,87,5,10,new,Yes,Yes,107000
5015224,abseron,Masazır q.,2,70,4,7,new,Yes,Yes,105000
5053306,abseron,Masazır q.,3,94,6,9,new,Yes,No,119000
5053297,abseron,Abşeron r.,4,95,4,5,new,Yes,No,109000
5053177,abseron,Abşeron r.,3,100,1,9,new,Yes,No,85000
5037599,abseron,Masazır q.,2,50,14,18,new,Yes,No,74000
5053135,abseron,Masazır q.,3,83,3,6,new,Yes,Yes,105000
5029754,abseron,Masazır q.,3,132,4,6,new,Yes,Yes,177500
5052894,abseron,Abşeron r.,2,61,3,9,new,Yes,Yes,99000
5024341,abseron,Abşeron r.,2,42,5,6,new,Yes,Yes,59000
5052839,abseron,Masazır q.,3,64,3,3,new,Yes,No,65000
5052829,abseron,Masazır q.,3,84,6,6,new,Yes,Yes,78000
5052815,abseron,Masazır q.,2,37,11,11,new,Yes,Yes,62000
5052776,abseron,Masazır q.,2,81.9,7,7,new,Yes,Yes,85000
5052667,abseron,Masazır q.,3,65,3,3,new,Yes,No,62000
5052503,abseron,Masazır q.,2,42,4,6,new,Yes,Yes,65000
5052501,abseron,Masazır q.,2,50,13,18,new,Yes,Yes,74000
5052486,abseron,Masazır q.,3,78,3,15,new,Yes,No,105000
5040898,abseron,Masazır q.,3,83,2,6,new,Yes,No,108000
4707676,abseron,Masazır q.,2,70,5,6,new,Yes,Yes,80000
4826045,abseron,Masazır q.,3,65,6,11,new,Yes,Yes,94900
5052336,abseron,Masazır q.,3,70,3,9,new,Yes,No,97500
4953515,abseron,Masazır q.,2,58,11,11,new,Yes,No,60000
5052224,abseron,Masazır q.,2,41,1,7,new,Yes,No,56400
5043693,abseron,Masazır q.,3,96,4,6,new,Yes,Yes,115000
4438737,abseron,Masazır q.,2,42,2,6,new,Yes,Yes,63500
4426344,abseron,Masazır q.,3,66,2,8,new,Yes,No,77000
5052150,abseron,Abşeron r.,3,130,9,12,new,Yes,No,165000
5052114,abseron,Abşeron r.,1,34,3,6,new,Yes,No,45500
5052115,abseron,Masazır q.,2,38,4,6,new,Yes,Yes,60000
5037141,abseron,Masazır q.,2,73,3,6,new,Yes,Yes,94000
4812688,abseron,Masazır q.,1,54,4,6,new,No,No,55000
4848940,abseron,Masazır q.,1,44,6,6,new,No,No,34000
4794153,abseron,Masazır q.,2,51,4,6,new,Yes,No,66500
5051972,abseron,Masazır q.,2,42,1,6,new,Yes,Yes,63000
4892803,abseron,Masazır q.,2,64,12,15,new,No,No,51000
5051820,abseron,Masazır q.,2,42,1,6,new,Yes,Yes,63000
5007421,abseron,Masazır q.,3,85,3,11,new,No,Yes,78000
5051773,abseron,Masazır q.,2,38,4,6,new,Yes,Yes,60000
5051759,abseron,Masazır q.,2,63,7,14,new,Yes,No,89000
5051754,abseron,Masazır q.,3,97,4,8,new,Yes,Yes,130000
5051737,abseron,Masazır q.,2,42,1,6,new,Yes,Yes,63000
5049363,abseron,Masazır q.,2,75,3,9,new,Yes,Yes,97500
5051720,abseron,Masazır q.,3,97,5,9,new,Yes,Yes,130000
4839858,abseron,Masazır q.,2,42,5,6,new,Yes,Yes,59800
5051651,abseron,Masazır q.,2,49.3,5,6,new,Yes,Yes,75000
5051557,abseron,Masazır q.,2,54,4,8,new,Yes,No,68000
5051546,abseron,Zuğulba q.,3,133.4,4,5,new,No,No,400000
5051513,abseron,Masazır q.,2,57,1,6,new,Yes,Yes,75500
5051426,abseron,Masazır q.,2,52,6,7,new,Yes,Yes,64500
5051425,abseron,Masazır q.,3,72,5,6,new,Yes,No,80000
5051424,abseron,Masazır q.,2,44,6,7,new,Yes,Yes,53000
5051421,abseron,Masazır q.,3,120,6,11,new,Yes,Yes,134500
5051417,abseron,Masazır q.,2,55,4,8,new,Yes,Yes,78500
4902778,abseron,Masazır q.,2,75,4,6,new,Yes,Yes,92000
4889014,abseron,Masazır q.,2,56,6,6,new,Yes,No,39900
4906705,abseron,Masazır q.,2,56,7,7,new,Yes,No,81000
5051002,abseron,Abşeron r.,2,50,13,18,new,Yes,No,74000
4722156,abseron,Masazır q.,2,65,3,6,new,Yes,Yes,85000
5050964,abseron,Masazır q.,2,66,5,9,new,Yes,No,83000
5050880,abseron,Masazır q.,3,84,4,7,new,Yes,No,115000
5050860,abseron,Masazır q.,3,95,3,7,new,Yes,Yes,135000
4815514,abseron,Masazır q.,2,60,6,8,new,Yes,No,79500
4799808,abseron,Masazır q.,3,92,7,9,new,Yes,Yes,125000
4738883,abseron,Masazır q.,2,83,6,6,new,No,No,56000
5050763,abseron,Masazır q.,2,51,5,6,new,No,No,49300
5050543,abseron,Saray q.,3,67,11,14,new,Yes,Yes,80000
5050491,abseron,Aşağı Güzdək q.,3,81,2,10,new,Yes,No,49000
5050464,abseron,Mehdiabad q.,3,56,1,4,new,Yes,No,82000
5050433,abseron,Abşeron r.,1,37,4,6,new,Yes,No,58000
4588537,abseron,Masazır q.,2,70,1,8,new,Yes,No,73500
4376579,abseron,Masazır q.,3,83,2,8,new,Yes,No,120000
4885765,abseron,Masazır q.,1,58,14,14,new,No,No,46000
5050146,abseron,Masazır q.,2,50,9,9,new,Yes,Yes,59000
4797274,abseron,Masazır q.,2,54,2,6,new,Yes,No,71000
4464940,abseron,Masazır q.,2,44,6,6,new,Yes,Yes,53500
5049972,abseron,Abşeron r.,2,85,10,14,new,Yes,No,97900
5049820,abseron,Masazır q.,2,54,5,6,new,Yes,Yes,64500
5005010,abseron,Masazır q.,3,70,2,6,new,Yes,Yes,100000
4281925,abseron,Masazır q.,1,53,4,6,new,No,No,55500
4902208,abseron,Masazır q.,2,75,4,6,new,Yes,Yes,92000
5049706,abseron,Abşeron r.,2,50,11,11,new,Yes,Yes,75000
5049695,abseron,Abşeron r.,2,45,4,4,new,Yes,No,45000
5049640,abseron,Masazır q.,3,82,5,6,new,Yes,Yes,89000
4966716,abseron,Masazır q.,2,51,2,5,new,Yes,Yes,66000
4804895,abseron,Masazır q.,2,60,8,9,new,Yes,No,93000
4723821,abseron,Masazır q.,3,88,1,12,new,Yes,Yes,119000
4433032,abseron,Masazır q.,2,55,6,7,new,Yes,No,68000
4700564,abseron,Masazır q.,3,110,3,5,new,Yes,Yes,93000
5007275,abseron,Ceyranbatan q.,3,90,7,12,new,Yes,Yes,130000
5049450,abseron,Masazır q.,3,72,1,2,new,Yes,No,95000
5049373,abseron,Masazır q.,2,60,11,16,new,Yes,Yes,90000
5049336,abseron,Masazır q.,2,66,8,14,new,Yes,No,72000
5049290,abseron,Masazır q.,2,60,3,7,new,Yes,Yes,97000
4774545,abseron,Masazır q.,3,90,5,11,new,Yes,Yes,115000
5049261,abseron,Masazır q.,2,71,3,9,new,Yes,Yes,98000
5049251,abseron,Masazır q.,2,50,1,6,new,Yes,Yes,69500
4695642,abseron,Masazır q.,2,50,3,5,new,Yes,No,63000
5049229,abseron,Masazır q.,3,73,1,5,new,Yes,Yes,86000
5049216,abseron,Masazır q.,2,41,7,8,new,Yes,No,58500
5049207,abseron,Masazır q.,2,75,5,6,new,Yes,Yes,86000
5049154,abseron,Masazır q.,2,63,10,12,new,Yes,Yes,81500
5049113,abseron,Masazır q.,3,71,3,5,new,No,No,85000
5049107,abseron,Masazır q.,3,97,2,8,new,No,Yes,97500
5049090,abseron,Məmmədli q.,3,108,9,10,new,No,Yes,130000
5049045,abseron,Aşağı Güzdək q.,2,88,10,10,new,No,Yes,65000
5027833,abseron,Abşeron r.,2,60,3,7,new,Yes,Yes,97000
4865895,abseron,Masazır q.,1,50,6,6,new,No,Yes,42000
4862606,abseron,Masazır q.,1,54,5,6,new,No,Yes,53500
5048747,abseron,Masazır q.,2,51,3,6,new,Yes,No,77000
5048738,abseron,Mehdiabad q.,3,136,2,10,new,No,Yes,122000
5048734,abseron,Masazır q.,2,80,4,10,new,No,No,91000
4966744,abseron,Masazır q.,2,44,5,6,new,No,No,52500
5048395,abseron,Masazır q.,3,75.9,5,6,new,Yes,No,120000
5041365,abseron,Masazır q.,2,57,1,6,new,Yes,Yes,75000
5048072,abseron,Masazır q.,3,96,5,7,new,Yes,Yes,137000
4976880,abseron,Masazır q.,3,92,8,9,new,No,Yes,90000
5000805,abseron,Masazır q.,2,57,6,6,new,Yes,Yes,58500
5048000,abseron,Masazır q.,3,74,5,11,new,Yes,Yes,88000
5037379,abseron,Masazır q.,3,73.5,4,5,new,Yes,Yes,102000
5047874,abseron,Masazır q.,2,50,1,9,new,Yes,Yes,73000
5047858,abseron,Masazır q.,2,55,3,6,new,Yes,Yes,75000
4544995,abseron,Masazır q.,3,70,4,7,new,No,No,68800
4975701,abseron,Masazır q.,3,75,1,6,new,Yes,Yes,82000
4752189,abseron,Masazır q.,3,70,3,6,new,Yes,No,80000
5047712,abseron,Saray q.,2,56,10,16,new,Yes,No,84000
5047684,abseron,Masazır q.,2,42,5,6,new,Yes,Yes,58800
5047641,abseron,Saray q.,3,84,15,16,new,Yes,No,125000
5047576,abseron,Saray q.,3,102,3,16,new,Yes,No,140000
5032938,abseron,Mehdiabad q.,3,136,2,10,new,No,Yes,122000
5047462,abseron,Masazır q.,1,63,11,14,new,No,No,65000
5047453,abseron,Masazır q.,2,54,2,8,new,No,No,58000
5047434,abseron,Masazır q.,3,70,2,6,new,Yes,Yes,93000
5047379,abseron,Masazır q.,3,90,7,7,new,Yes,Yes,147000
5047141,abseron,Abşeron r.,2,55,3,7,new,Yes,Yes,71000
4821423,abseron,Masazır q.,5,150,6,6,new,Yes,Yes,86000
5020081,abseron,Abşeron r.,2,58,14,15,new,Yes,No,71000
5047069,abseron,Abşeron r.,3,106,5,5,new,Yes,Yes,116000
5022290,abseron,Masazır q.,2,42,5,6,new,Yes,Yes,57500
5045519,abseron,Masazır q.,2,75,8,8,new,Yes,Yes,92000
5046807,abseron,Masazır q.,3,84,6,6,new,Yes,Yes,78000
5046740,abseron,Masazır q.,2,44,7,8,new,Yes,Yes,63000
4968461,abseron,Masazır q.,2,53,1,6,new,Yes,Yes,67000
4897581,abseron,Masazır q.,3,77,5,12,new,Yes,No,110000
5003274,abseron,Masazır q.,2,55,5,6,new,Yes,No,79000
4962828,abseron,Masazır q.,2,42,5,6,new,Yes,Yes,58500
5046689,abseron,Masazır q.,2,50,1,6,new,Yes,Yes,69500
5046684,abseron,Masazır q.,3,79,7,9,new,Yes,No,105000
5046618,abseron,Atyalı q.,3,70,7,12,new,Yes,Yes,76500
5046606,abseron,Abşeron r.,1,36,10,11,new,Yes,Yes,60000
4965200,abseron,Masazır q.,2,57,2,7,new,Yes,Yes,82000
5046558,abseron,Mehdiabad q.,2,76,6,6,new,Yes,Yes,94000
5046548,abseron,Masazır q.,2,50,1,6,new,Yes,Yes,69500
5045947,abseron,Masazır q.,2,51.3,6,6,new,Yes,Yes,65000
5046504,abseron,Masazır q.,3,94,4,9,new,No,Yes,110000
5046448,abseron,Masazır q.,2,54,4,8,new,Yes,No,80000
5046434,abseron,Masazır q.,2,54.5,5,6,new,Yes,Yes,79500
5046424,abseron,Masazır q.,3,92,2,9,new,No,Yes,107000
5046423,abseron,Masazır q.,3,60.5,1,8,new,Yes,No,85000
5046410,abseron,Masazır q.,2,50,1,6,new,Yes,Yes,69500
5046403,abseron,Masazır q.,2,50,1,6,new,Yes,Yes,69500
5046336,abseron,Masazır q.,2,60,3,7,new,Yes,Yes,97000
5046313,abseron,Məmmədli q.,2,70,1,5,new,Yes,No,75000
4921107,abseron,Masazır q.,2,52,6,6,new,Yes,Yes,55000
5046219,abseron,Masazır q.,2,55.6,7,7,new,Yes,No,63000
5005079,abseron,Masazır q.,3,90,2,6,new,Yes,Yes,117000
5046184,abseron,Saray q.,2,58,5,14,new,Yes,Yes,98000
4814089,abseron,Masazır q.,1,52,1,16,new,No,Yes,54000
5046060,abseron,Masazır q.,2,75,3,5,new,No,No,57000
5045976,abseron,Masazır q.,3,63,9,14,new,Yes,Yes,105000
4995974,abseron,Masazır q.,3,73,5,6,new,Yes,Yes,85000
5045855,abseron,Masazır q.,3,70,2,6,new,Yes,Yes,93000
4957740,abseron,Masazır q.,3,52,2,6,new,Yes,Yes,63000
4897964,abseron,Masazır q.,2,44,6,6,new,Yes,Yes,53500
5045389,abseron,Masazır q.,3,70,2,6,new,Yes,Yes,93000
5045293,abseron,Masazır q.,3,70,2,6,new,Yes,Yes,93000
5045087,abseron,Masazır q.,3,85,3,13,new,Yes,Yes,125000
4895369,abseron,Masazır q.,2,60,7,14,new,Yes,Yes,89500
5045040,abseron,Masazır q.,2,50.5,7,7,new,Yes,No,73500
4897192,abseron,Masazır q.,2,53,5,6,new,Yes,Yes,65000
4675570,abseron,Masazır q.,3,72,3,6,new,Yes,Yes,80000
4890227,abseron,Saray q.,2,65,4,9,new,Yes,No,67800
5044399,abseron,Masazır q.,2,50,6,6,new,Yes,Yes,58000
5044362,abseron,Saray q.,2,55,14,14,new,Yes,Yes,72500
4972659,abseron,Məmmədli q.,3,98,9,10,new,Yes,Yes,135000
4972134,abseron,Məmmədli q.,2,60,9,10,new,Yes,Yes,88000
4971674,abseron,Masazır q.,2,45,6,10,new,Yes,Yes,63000
5044304,abseron,Saray q.,2,67,8,10,new,No,No,55000
5044286,abseron,Saray q.,2,67,8,10,new,Yes,No,77000
4970216,abseron,Masazır q.,3,74,5,9,new,Yes,Yes,119000
4971594,abseron,Masazır q.,2,75,3,6,new,Yes,Yes,83000
5044119,abseron,Masazır q.,2,82.5,8,11,new,No,No,45000
5044060,abseron,Saray q.,2,58,1,14,new,Yes,No,90000
5044054,abseron,Masazır q.,3,70,1,6,new,Yes,Yes,75000
4960366,abseron,Masazır q.,2,75,8,8,new,Yes,No,91000
5041271,abseron,Masazır q.,2,42,5,6,new,Yes,Yes,58800
4919084,abseron,Masazır q.,2,42,3,6,new,Yes,Yes,62500
4894329,abseron,Masazır q.,2,60,7,14,new,Yes,Yes,89500
5043913,abseron,Masazır q.,2,64,2,7,new,Yes,Yes,103000
5043883,abseron,Masazır q.,3,71.1,5,5,new,Yes,No,80000
5041268,abseron,Masazır q.,2,42,5,6,new,Yes,Yes,58800
4971929,abseron,Masazır q.,2,54,4,6,new,Yes,Yes,70500
4921877,abseron,Masazır q.,2,56,7,7,new,Yes,Yes,63000
5043741,abseron,Abşeron r.,2,57,5,9,new,Yes,Yes,103000
4930676,abseron,Masazır q.,1,54,6,6,new,No,No,36000
4802228,abseron,Masazır q.,2,83,2,6,new,Yes,Yes,102000
4519285,abseron,Masazır q.,2,54,3,6,new,Yes,No,71000
4995449,abseron,Masazır q.,3,90,8,9,new,Yes,Yes,130000
4926383,abseron,Masazır q.,2,55,4,8,new,Yes,Yes,79000
4116245,abseron,Masazır q.,2,54,2,6,new,Yes,Yes,75500
4972252,abseron,Masazır q.,3,68,8,14,new,Yes,Yes,107000
4970254,abseron,Masazır q.,2,40,5,6,new,Yes,Yes,65000
5042739,abseron,Masazır q.,2,53,6,8,new,Yes,No,77000
5042727,abseron,Masazır q.,2,52,3,7,new,Yes,No,74000
5042685,abseron,Mehdiabad q.,3,136,2,10,new,No,Yes,129000
5042617,abseron,Masazır q.,1,68,3,13,new,No,Yes,81000
4894941,abseron,Masazır q.,2,53,5,6,old,Yes,Yes,65000
3980792,abseron,Masazır q.,2,62,6,14,new,No,Yes,77500
5042522,abseron,Masazır q.,1,44,3,5,new,No,No,38000
5042442,abseron,Masazır q.,3,95,6,9,new,Yes,Yes,135000
5042054,abseron,Masazır q.,3,85,6,6,new,Yes,Yes,82000
4893980,abseron,Masazır q.,2,64,7,14,new,Yes,Yes,90000
5042027,abseron,Masazır q.,2,94,8,16,new,Yes,Yes,75000
5041794,abseron,Masazır q.,3,82,2,6,new,Yes,No,108000
5041705,abseron,Abşeron r.,3,70,5,16,new,Yes,No,117500
4893813,abseron,Masazır q.,2,60,7,14,new,Yes,Yes,89500
5041557,abseron,Masazır q.,3,83,2,6,new,Yes,No,108000
5034436,abseron,Mehdiabad q.,3,108,1,4,old,Yes,Yes,100000
4893866,abseron,Masazır q.,3,93,9,9,new,Yes,Yes,95000
5041468,abseron,Masazır q.,2,42,5,6,new,Yes,Yes,58800
5041456,abseron,Masazır q.,4,150,6,6,new,Yes,Yes,155000
4959997,abseron,Abşeron r.,3,90,2,11,new,Yes,Yes,116900
